----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
13-05 23:46:45| 99   0   1   0   0|2127M  162M 4388k 5460M|  14M    0 
13-05 23:46:46| 97   1   0   0   0|2116M  159M 4388k 5463M|  13M    0 
13-05 23:46:47| 98   1   1   0   0|2116M  146M 4388k 5476M|  13M    0 
13-05 23:46:48| 99   0   1   0   0|2116M  132M 4388k 5489M|  14M    0 
13-05 23:46:49| 98   1   1   0   0|2116M  133M 4388k 5488M|  13M   48k
13-05 23:46:50| 97   1   1   0   0|2115M  136M 4388k 5486M|  14M   48k
13-05 23:46:51| 99   1   1   0   0|2104M  133M 4388k 5500M|  14M   10k
13-05 23:46:52| 96   2   1   0   0|2104M  122M 4388k 5512M|  12M    0 
13-05 23:46:53| 98   1   1   0   0|2101M  126M 4388k 5510M|  13M   56k
13-05 23:46:54| 99   1   1   0   0|2101M  128M 4388k 5509M|  14M  122k
13-05 23:46:55| 98   1   1   0   0|2101M  128M 4388k 5508M|  14M   56k
13-05 23:46:56| 99   1   1   0   0|2101M  138M 4388k 5499M|  17M  180k
13-05 23:46:57| 98   0   1   0   0|2101M  122M 4388k 5515M|  17M    0 
13-05 23:46:58| 97   1   1   0   0|2101M  137M 4388k 5500M|  14M   84k
13-05 23:46:59| 99   0   1   0   0|2100M  124M 4388k 5513M|  13M    0 
13-05 23:47:00| 98   1   1   0   0|2101M  131M 4388k 5506M|  13M   10M
