"x"
"1" "house: 0"
"Point.Forecast" "Lo.90" "Hi.90" "Lo.95" "Hi.95"
"21.79167" 1445.63941630599 625.938143174327 2265.34068943765 468.905105668703 2422.37372694327
"21.83333" 1359.19796467272 539.496743770953 2178.89918557449 382.463716271191 2335.93221307425
"21.87500" 1373.77283557796 553.480683067497 2194.06498808842 396.334448734328 2351.21122242159
"21.91667" 1476.36430366916 655.823553542363 2296.90505379595 498.629694495059 2454.09891284325
"21.95833" 1093.20456938255 272.559746759539 1913.84939200555 115.345950180433 2071.06318858466
"22.00000" 1203.58239004495 382.895277231699 2024.2695028582 225.673378973055 2181.49140111685
"22.04167" 786.619513019224 -34.0862105272485 1607.3252365657 -191.311674109094 1764.55070014754
"22.08333" 589.699396257616 -231.014169201009 1410.41296171624 -388.241135085371 1567.6399276006
"22.12500" 662.554299930226 -158.162569866748 1483.2711697272 -315.390168774754 1640.49876863521
"22.16667" 557.912640212234 -262.805621935793 1378.63090236026 -420.033487581357 1535.85876800582
"22.20833" 483.701058775634 -337.017790069114 1304.41990762038 -494.245768110219 1461.64788566149
"22.25000" 748.120097768641 -72.5989982932849 1568.83919383057 -229.827023694649 1726.06721923193
"22.29167" 652.186017515311 -168.533182716558 1472.90521774718 -325.761228074122 1630.13326310474
"22.33333" 1249.94426080339 429.225016678163 2070.66350492862 271.996962911795 2227.89155869499
"22.37500" 1318.81997744895 498.100714830476 2139.53924006743 340.872657521291 2296.76729737661
"22.41667" 967.377489792363 146.658219386512 1788.09676019821 -10.5698394145271 1945.32481899925
"22.45833" 1276.5567191471 455.837445472112 2097.27599282208 298.609386044793 2254.5040522494
"22.50000" 1059.90782989716 239.188554873714 1880.6271049206 81.9604951880668 2037.85516460625
"22.54167" 1019.00687190126 198.287596378581 1839.72614742393 41.0595365972944 1996.95420720522
"22.58333" 1145.19325497661 324.473979407255 1965.91253054597 167.245919617025 2123.1405903362
"22.62500" 1055.70189640431 234.982621203732 1876.42117160488 77.7545614841516 2033.64923132446
"22.66667" 1300.42741522805 479.70814110474 2121.14668935136 322.480081591535 2278.37474886456
"22.70833" 1112.15268263801 291.433411156428 1932.87195411958 134.205352149309 2090.1000131267
"22.75000" 961.331469887864 140.612204711542 1782.05073506419 -16.6158530876573 1939.27879286339
"22.79167" 1361.64413176267 540.924881565154 2182.36338196018 383.696826635497 2339.59143688983
"22.83333" 1422.49153927342 601.772324630124 2243.21075391671 444.544276511714 2400.43880203512
"22.87500" 1420.68525861097 597.247627658774 2244.12288956317 439.498803028011 2401.87171419394
"22.91667" 1493.77151624354 669.191329121455 2318.35170336563 511.223621012333 2476.31941147475
"22.95833" 1037.48660578462 212.425983065431 1862.54722850381 54.3662362299925 2020.60697533925
"23.00000" 1156.89799744983 331.636277655217 1982.15971724445 173.538005950265 2140.2579889494
"23.04167" 731.031724868606 -94.3153489904713 1556.37879872768 -252.429972271839 1714.49342200905
"23.08333" 678.594851339938 -146.788185673437 1503.97788835331 -304.909698541954 1662.09940122183
"23.12500" 619.689762746759 -205.708427657165 1445.08795315068 -363.832843513667 1603.21236900719
"23.16667" 591.617203765135 -233.787371767221 1417.02177929749 -391.91301084509 1575.14741837536
