----system---- ----total-usage---- ------memory-usage----- -dsk/total-
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ
09-06 19:45:12| 30   1  23  47   0|2940M  127M 4320k 4737M|  22M  116k
09-06 19:45:13| 28   0  23  47   0|2940M  127M 4320k 4737M|  21M   76k
09-06 19:45:14| 28   1  29  43   0|2937M  125M 4320k 4743M|  22M  268k
09-06 19:45:15| 27   1  27  45   0|2937M  123M 4320k 4743M|  21M   52k
09-06 19:45:16| 27   1  24  49   0|2936M  124M 4320k 4744M|  21M   96k
09-06 19:45:17| 29   1  28  42   0|2936M  122M 4320k 4745M|  21M   60k
09-06 19:45:18| 30   1  25  44   0|2937M  126M 4320k 4741M|  23M   96k
09-06 19:45:19| 27   1  28  43   0|2936M  126M 4320k 4742M|  21M   68k
09-06 19:45:20| 35   1  16  48   0|2937M  126M 4320k 4741M|  20M   68k
09-06 19:45:21| 36   0  18  45   0|2937M  122M 4320k 4745M|  25M   96k
09-06 19:45:22| 29   1  26  44   0|2937M  127M 4320k 4739M|  22M   76k
09-06 19:45:23| 29   1  10  60   0|2934M  122M 4320k 4747M|  22M   32k
09-06 19:45:24| 29   1  12  58   0|2933M  122M 4320k 4749M|  22M   68k
09-06 19:45:25| 29   1  12  57   0|2933M  122M 4320k 4750M|  21M  164k
09-06 19:45:26| 29   1  11  58   0|2932M  123M 4320k 4748M|  19M  142k
09-06 19:45:27| 28   1  22  49   0|2930M  127M 4320k 4747M|  20M   76k
09-06 19:45:28| 28   1  30  42   0|2931M  125M 4320k 4748M|  22M   72k
09-06 19:45:29| 31   1  13  55   0|2929M  125M 4320k 4749M|  22M   40k
09-06 19:45:30| 28   1  22  49   0|2928M  125M 4320k 4751M|  22M   84k
09-06 19:45:31| 29   1   8  62   0|2927M  125M 4320k 4752M|  21M   48k
09-06 19:45:32| 28   1  17  54   0|2926M  125M 4320k 4753M|  22M   72k
09-06 19:45:33| 30   0  22  47   0|2925M  125M 4320k 4754M|  22M   64k
09-06 19:45:34| 28   1  18  54   0|2926M  124M 4320k 4755M|  22M   56k
09-06 19:45:35| 28   1  20  51   0|2924M  124M 4320k 4756M|  22M   68k
09-06 19:45:36| 27   1   6  66   0|2924M  123M 4320k 4757M|  22M   60k
09-06 19:45:37| 27   1  30  43   0|2922M  124M 4320k 4758M|  22M  168k
09-06 19:45:38| 29   1  23  47   0|2922M  124M 4320k 4757M|  22M   68k
09-06 19:45:39| 27   1  21  50   0|2921M  124M 4320k 4759M|  22M   60k
09-06 19:45:40| 30   1  23  46   0|2921M  123M 4320k 4760M|  22M   64k
09-06 19:45:41| 28   0  17  55   0|2919M  123M 4320k 4762M|  22M   68k
09-06 19:45:42| 34   1  16  48   0|2919M  124M 4320k 4761M|  21M   72k
09-06 19:45:43| 36   1  12  51   0|2919M  121M 4320k 4764M|  23M   72k
09-06 19:45:44| 32   1  29  38   0|2921M  125M 4320k 4758M|  22M   88k
09-06 19:45:45| 35   0  17  48   0|2920M  124M 4320k 4760M|  23M   68k
09-06 19:45:46| 27   1  15  56   0|2918M  121M 4320k 4765M|  22M   64k
09-06 19:45:47| 28   1  20  51   0|2919M  126M 4320k 4760M|  22M  104k
09-06 19:45:48| 29   1  15  53   0|2918M  125M 4320k 4761M|  22M   52k
09-06 19:45:49| 28   0  20  51   0|2915M  126M 4320k 4763M|  22M   92k
09-06 19:45:50| 29   1  18  53   0|2915M  125M 4320k 4764M|  22M   80k
09-06 19:45:51| 30   1  15  53   0|2913M  126M 4320k 4765M|  22M   76k
09-06 19:45:52| 30   1  20  49   0|2913M  125M 4320k 4766M|  21M   84k
09-06 19:45:53| 38   1  14  47   0|2913M  124M 4320k 4768M|  22M   36k
09-06 19:45:54| 30   1  14  55   0|2912M  123M 4320k 4769M|  22M   88k
09-06 19:45:55| 30   1  28  42   0|2912M  125M 4320k 4767M|  22M  159k
09-06 19:45:56| 29   1  15  55   0|2912M  125M 4320k 4768M|  22M   91k
09-06 19:45:57| 29   1  24  45   0|2912M  127M 4320k 4765M|  18M   95k
09-06 19:45:58| 30   1  10  59   0|2908M  123M 4320k 4773M|  22M   49k
09-06 19:45:59| 29   0   3  66   0|2907M  123M 4320k 4775M|  22M   76k
09-06 19:46:00| 31   1  12  56   0|2906M  123M 4320k 4775M|  22M   44k
09-06 19:46:01| 29   1  25  46   0|2908M  127M 4320k 4769M|  22M   96k
09-06 19:46:02| 30   1  15  53   0|2906M  128M 4320k 4770M|  22M   68k
09-06 19:46:03| 31   0  14  54   0|2906M  127M 4320k 4772M|  22M   76k
09-06 19:46:04| 30   1  15  54   0|2905M  126M 4320k 4774M|  22M   72k
09-06 19:46:05| 29   1  24  46   0|2905M  125M 4320k 4775M|  22M   84k
09-06 19:46:06| 28   1  23  49   0|2903M  125M 4320k 4776M|  22M   52k
09-06 19:46:07| 35   2  11  54   0|2904M  124M 4320k 4776M|  22M   92k
09-06 19:46:08| 32   1  10  56   0|2904M  125M 4320k 4775M|  20M   76k
09-06 19:46:09| 27   1  20  52   0|2905M  126M 4320k 4773M|  21M   96k
09-06 19:46:10| 28   1  16  55   0|2905M  125M 4320k 4773M|  21M   84k
09-06 19:46:11| 29   1  27  44   0|2904M  127M 4320k 4773M|  22M   48k
09-06 19:46:12| 32   1  23  45   0|2903M  127M 4320k 4774M|  21M  108k
09-06 19:46:13| 31   1  18  50   0|2903M  126M 4320k 4775M|  21M   56k
09-06 19:46:14| 28   1  17  54   0|2902M  127M 4320k 4775M|  21M   76k
09-06 19:46:15| 27   1  24  47   0|2902M  136M 4320k 4766M|  21M   76k
